created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2022-08-02T09:09:54+00:00,1,29.58491,39.47458,1.10847,2.10847,158.88136,264.38983,692.16949,,,,
2022-08-02T09:10:24+00:00,2,29.87631,38.94737,1.24210,1.72456,145.10527,251.73685,670.70178,,,,
2022-08-02T09:10:55+00:00,3,30.13948,38.00000,1.03965,1.49655,134.20689,242.10345,651.58618,,,,
2022-08-02T09:11:25+00:00,4,30.39807,37.64912,1.03158,1.40877,124.73684,234.31580,633.49121,,,,
2022-08-02T09:11:55+00:00,5,30.63701,37.00000,1.17193,3.61404,117.59649,228.08772,617.68420,,,,
2022-08-02T09:12:25+00:00,6,30.86105,37.00000,1.15439,2.56316,111.56140,223.43860,602.89471,,,,
2022-08-02T09:12:55+00:00,7,31.06811,36.13793,1.06379,1.80690,106.18965,219.06897,589.44830,,,,
2022-08-02T09:32:35+00:00,8,29.09608,40.00000,33.47288,128.81186,141.49153,263.38983,649.84747,,,,
2022-08-02T09:33:05+00:00,9,29.05847,40.00000,31.68966,105.34138,100.67242,235.72414,615.12067,,,,
2022-08-02T09:33:36+00:00,10,29.08310,40.18966,31.00345,89.73450,82.82758,223.25862,588.22412,,,,
2022-08-02T09:34:06+00:00,11,29.10792,40.00000,28.37587,68.14656,72.22414,216.08621,566.39655,,,,
2022-08-02T09:34:37+00:00,12,29.13242,40.44828,29.21552,70.97414,65.15517,211.39655,546.84485,,,,
2022-08-02T09:35:07+00:00,13,29.16053,40.01724,29.05862,73.48450,60.24138,207.31035,529.50000,,,,
2022-08-02T09:35:37+00:00,14,29.17777,40.00000,28.80861,72.30516,55.18966,204.51724,513.98279,,,,
2022-08-02T09:36:08+00:00,15,29.18653,40.00000,29.37931,70.42585,50.67241,202.06897,499.91379,,,,
2022-08-02T09:36:38+00:00,16,29.19050,40.00000,28.35689,62.84311,48.51724,200.01724,487.72415,,,,
2022-08-02T09:37:09+00:00,17,29.19016,40.00000,27.93966,63.83965,46.55172,198.31035,476.68967,,,,
2022-08-02T09:37:39+00:00,18,29.18602,40.00000,27.32585,66.83449,44.67241,196.93103,466.50000,,,,
2022-08-02T09:38:09+00:00,19,29.17863,40.00000,27.48965,66.70517,42.67241,195.58621,457.00000,,,,
2022-08-02T09:38:40+00:00,20,29.16397,40.00000,27.18966,76.74484,41.34483,194.17241,447.91379,,,,
2022-08-02T09:39:10+00:00,21,29.13621,40.00000,29.32070,101.10861,40.05172,193.00000,439.50000,,,,
2022-08-02T09:39:40+00:00,22,29.10154,40.00000,24.97758,57.91035,38.75862,191.29311,431.77585,,,,
2022-08-02T09:40:11+00:00,23,29.08516,40.00000,24.55345,62.48277,37.72414,190.46552,424.75861,,,,
2022-08-02T09:40:41+00:00,24,29.05881,40.01724,25.60689,61.53449,36.70690,189.75862,418.08621,,,,
2022-08-02T09:41:11+00:00,25,29.02312,40.94828,25.85516,54.56034,35.79310,189.31035,411.51724,,,,
2022-08-02T09:41:42+00:00,26,28.98844,41.00000,24.74655,58.91724,35.20690,188.08621,405.55173,,,,
2022-08-02T09:42:12+00:00,27,28.94639,41.00000,24.11379,51.11380,34.63793,186.79311,399.74139,,,,
2022-08-02T09:42:43+00:00,28,28.89707,41.00000,23.33793,51.86207,33.96552,186.18965,394.24139,,,,
2022-08-02T09:43:13+00:00,29,28.84809,41.00000,23.02242,54.62069,32.81034,185.53448,389.37930,,,,
2022-08-02T09:43:43+00:00,30,28.82516,41.00000,22.49656,50.80344,32.46552,184.74138,384.53448,,,,
2022-08-02T09:44:14+00:00,31,28.79984,41.00000,21.89137,45.00172,32.13793,184.18965,379.87930,,,,
